Instruções de Uso:,,,,TOTAL DO ESTOQUE ,,,,ESTOQUE/CATEGORIA,,%,ESTOQUE ANTERIOR,DIFERENÇA,,,
,CREME DE LEITE,MERCEARIA,UN,0,"R$ 3,15","R$ 0,00",,,,,,,,,
,LEITE DE COCO,MERCEARIA,UN,0,"R$ 8,79","R$ 0,00",,,,,,,,,
,ETIQUETA LACRE,EMBALAGEM,ROLO,0,"R$ 43,70","R$ 0,00",,,,,,,,,
,WASSABI EM PO,JAPONESES,PACOTE,0,"R$ 42,80","R$ 0,00",,,,,,,,,
,KANIKAMA KG,FRUTO DO MAR,KG,0,"R$ 19,90","R$ 0,00",,,,,,,,,
,GARFO,EMBALAGEM,UN,0,"R$ 0,15","R$ 0,00",,,,,,,,,
,CEBOLA ROXA ,CEASA,KG,0,"R$ 11,00","R$ 0,00",,,,,,,,,
,NOZES,CEASA,KG,0,"R$ 80,00","R$ 0,00",,,,,,,,,
,GLUTAMATO MONOSSODICO ,JAPONESES,UN,0,"R$ 19,50","R$ 0,00",,,,,,,,,
,BROWNIE DE DOCE DE LEITE,SOBREMESAS,UN,0,"R$ 4,50","R$ 0,00",,,,,,,,,
,GELEIA PIMENTA,MERCEARIA,KG,0,"R$ 26,90","R$ 0,00",,,,,,,,,
,CHINGUENSAI ,CEASA,UN,0,"R$ 4,40","R$ 0,00",,,,,,,,,
,COUVE ,CEASA,MÇ,0,"R$ 2,20","R$ 0,00",,,,,,,,,
,RÚCULA,CEASA,MÇ,0,"R$ 2,20","R$ 0,00",,,,,,,,,
,MONSTER,BEBIDA,UND  ,0,"R$ 6,79","R$ 0,00",,,,,,,,,
,MUXIBA DE CARNE,CARNES,KG,0,"R$ 10,00","R$ 0,00",,,,,,,,,
,BROTO DE ALFAFA,CEASA,PACOTE,0,"R$ 9,95","R$ 0,00",,,,,,,,,
,PHYSALIS,CEASA,BANDEJA  ,0,"R$ 12,00","R$ 0,00",,,,,,,,,
,ALHO PORÓ,CEASA,MÇ,0,"R$ 4,95","R$ 0,00",,,,,,,,,
,SALSA CRESPA,CEASA,UN,0,"R$ 3,85","R$ 0,00",,,,,,,,,
,PIMENTA DEDO DE MOÇA,CEASA,BANDEJA  ,0,"R$ 27,50","R$ 0,00",,,,,,,,,
,ALFACE CRESPA,CEASA,UN,0,"R$ 2,20","R$ 0,00",,,,,,,,,
,BATATA DOCE JAPONESA,CEASA,KG,0,"R$ 12,65","R$ 0,00",,,,,,,,,
,SALSÃO,CEASA,MÇ,0,"R$ 0,00","R$ 0,00",,,,,,,,,
,ETIQUETA DONBURI,EMBALAGEM,ROLO,0,"R$ 50,60","R$ 0,00",,,,,,,,,
,ZIP LOCK 5X5,EMBALAGEM,PACOTE,0,"R$ 3,90","R$ 0,00",,,,,,,,,
,OLEO DE GERGELIM,JAPONESES,GL,0,"R$ 57,04","R$ 0,00",,,,,,,,,
,WAKAME CUT,JAPONESES,KG,0,"R$ 43,00","R$ 0,00",,,,,,,,,
,TEMPERO COMPLETO,JAPONESES,KG,0,"R$ 16,94","R$ 0,00",,,,,,,,,
,HARUMAKI D SALMÃO,JAPONESES,UN,0,"R$ 1,59","R$ 0,00",,,,,,,,,
,HONDASHI,JAPONESES,UND,0,"R$ 59,90","R$ 0,00",,,,,,,,,
,SORVETE DE MELÃO,JAPONESES,UND,0,"R$ 0,00","R$ 0,00",,,,,,,,,
,GELEIA MARACUJA,MERCEARIA,KG,0,"R$ 16,90","R$ 0,00",,,,,,,,,
,GELEIA CUPUAÇU,MERCEARIA,KG,0,"R$ 10,42","R$ 0,00",,,,,,,,,
,CHANTILLY,MERCEARIA,UN,0,"R$ 14,99","R$ 0,00",,,,,,,,,
,VINAGRE,MERCEARIA,UN,0,"R$ 3,99","R$ 0,00",,,,,,,,,
,LEITE ,MERCEARIA,UN,0,"R$ 4,94","R$ 0,00",,,,,,,,,
,DORAYAKI,SOBREMESAS,UN,0,"R$ 10,00","R$ 0,00",,,,,,,,,
,SORVETE DE LARANJINHA,SOBREMESAS,UN,0,"R$ 7,60","R$ 0,00",,,,,,,,,
,OLEO DE ALGODÃO,SOBREMESAS,UN,0,,"R$ 0,00",,,,,,,,,
